shortcode,description
070001,070001. Ventricular dyssynchrony
070110,070110. Arrhythmogenic right ventricular cardiomyopathy
070111,070111. Right ventricular dysfunction
070610,070610. Left ventricular dysfunction
070850,070850. Ventricular myocardial noncompaction cardiomyopathy
100701,100701. Infectious myocarditis
100703,100703. Viral myocarditis
100705,100705. Drug induced heart muscle disease
100708,100708. Trypanosomal myocarditis (Chagas' disease)
100740,100740. Myocardial failure in end stage congenital heart disease
100742,100742. Heart muscle disease in cardiac rejection
100761,100761. Nutritional heart muscle disease
100771,100771. Heart muscle disease in infant of diabetic mother
100781,100781. Heart muscle disease in collagen vascular/ connective tissue disorder
100790,100790. Myocarditis
100930,100930. Ischaemic heart disease
101001,101001. Cardiomyopathy
101010,101010. Restrictive cardiomyopathy
101011,101011. Idiopathic restrictive cardiomyopathy
101012,101012. Endocardial fibroelastosis
101013,101013. Infiltrative cardiomyopathy
101020,101020. Hypertrophic cardiomyopathy
101025,101025. Dilated cardiomyopathy
101301,101301. Pulmonary arterial hypertension
101302,101302. Idiopathic (primary) pulmonary hypertension
101306,101306. Pulmonary vascular disease
101308,101308.  Irreversible pulmonary vascular disease due to congenital heart disease (Eisenmenger Syndrome)
101320,101320. Secondary pulmonary hypertension
101321,101321. Pulmonary hypertension due to congenital systemic-to-pulmonary shunt
101363,101363. Elevated lung resistance for biventricular repair (> 6 Wood units)
101364,101364. Elevated lung resistance for heart transplant (> 4 Wood units)
101365,101365. Elevated lung resistance for univentricular repair (> 2 Wood units)
101510,101510. Transient myocardial ischaemia
101800,101800. Myocardial infarction
101801,101801. Acute myocardial infarction
102016,102016. Pre-procedural pulmonary hypertension
102034,102034. Preprocedural myocardial infarction
102045,"102045. Preprocedural pulmonary hypertension (pulmonary pressure more than or equal to systemic pressure): echo data,"
102046,"102046. Preprocedural pulmonary hypertension (pulmonary pressure more than or equal to systemic pressure): catheter data,"
152231,152231. Residual pulmonary hypertension after relief of L to R shunt
